noun,det,raw_count,notes
youth,three,10,"needs inspection: three youth (quasi-count) vs three youths (count) — raw search is 'three youth' so should be clean"
clergy,three,3,"needs inspection for head uses"
poultry,three,1,"needs inspection"
livestock,three,1,"needs inspection"
vermin,three,0,""
youth,several,22,"needs inspection"
clergy,several,4,"needs inspection"
poultry,several,1,""
livestock,several,1,""
vermin,several,0,""
youth,many,86,""
clergy,many,26,""
livestock,many,13,""
poultry,many,3,""
vermin,many,2,""
youth,how_many,3,""
clergy,how_many,1,""
livestock,how_many,0,""
poultry,how_many,0,""
vermin,how_many,0,""
officers,three,238,"fully count singulative for police"
priests,three,35,"fully count singulative for clergy"
chickens,three,30,"fully count singulative for poultry"
officers,several,134,""
priests,several,20,""
chickens,several,13,""
officers,many,252,""
priests,many,146,""
chickens,many,32,""
officers,how_many,42,""
priests,how_many,17,""
chickens,how_many,13,""
officers,verb_following,20855,""
priests,verb_following,3160,""
chickens,verb_following,2079,""
